country,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,sweetness,cupper_points,total_score,altitude_m,color,harvest_year
Ethiopia,,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,7.92,86.0,1750.0,,2009/2010
United States (Hawaii),,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,8.17,86.0,426.72,,Fall 2009
Guatemala,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,8.0,85.92,,Green,2016
Uganda,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,8.0,85.92,1650.0,Green,2013
Colombia,Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,7.92,85.92,1800.0,Blue-Green,2013
Panama,Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,8.0,85.83,1600.0,Bluish-Green,2017
Ethiopia,,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,8.0,85.83,1900.0,Green,2014
Guatemala,Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,8.0,85.83,1524.0,Green,2012
Guatemala,Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,8.0,85.83,1417.32,Bluish-Green,2012
Ethiopia,Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,8.0,85.75,,,2017
Peru,,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,8.0,85.75,,Green,2013
Papua New Guinea,,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,10.0,7.92,85.75,1700.0,Bluish-Green,2012
El Salvador,Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,8.0,85.58,1500.0,Blue-Green,2013
El Salvador,Bourbon,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,7.92,85.58,1350.0,,2012
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,8.0,85.58,,,2012
Panama,Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,7.83,85.5,1680.0,,2014
Kenya,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,8.0,85.5,1900.0,Green,2014
Ethiopia,Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,8.0,85.5,1900.0,Green,2015
Uganda,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,8.08,85.5,1600.0,Green,2013
Guatemala,Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,7.83,85.5,1731.264,Green,2013
Ethiopia,,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,8.08,85.42,1900.0,Green,2015
Uganda,SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,8.0,85.42,1950.0,Green,2013
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,8.25,85.42,,,2012
