country,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,sweetness,cupper_points,total_score,altitude_m,color,harvest_year
Colombia,Caturra,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10.0,7.75,84.17,,Green,2016
Costa Rica,Caturra,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,8.0,84.17,1700.0,Bluish-Green,2016
Guatemala,Caturra,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,7.58,84.17,1116.7872,Green,2016
Guatemala,Caturra,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,7.67,84.17,1565.0,Green,2016
Guatemala,Bourbon,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,7.83,84.17,3280.0,Green,2016
Colombia,Caturra,Washed / Wet,8.0,7.5,7.5,7.67,8.0,7.83,10.0,7.67,84.17,1775.0,Bluish-Green,2015
Nicaragua,Caturra,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10.0,7.83,84.17,1000.0,Bluish-Green,2015
Brazil,Catuai,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,10.0,7.75,84.17,1150.0,,2015
Costa Rica,Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8.0,10.0,7.83,84.17,1850.0,Blue-Green,2014
Ethiopia,Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10.0,7.75,84.17,1606.5,Green,2014
"Tanzania, United Republic Of",Other,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10.0,7.67,84.17,1400.0,Green,2014
Colombia,Other,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10.0,7.5,84.17,1530.0,Green,2014/2015
Guatemala,,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,10.0,7.83,84.17,,Bluish-Green,2013
Kenya,SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10.0,7.75,84.17,250.5,Green,2013
Brazil,Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8.0,10.0,7.67,84.17,1038.5,Green,2012
Guatemala,Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10.0,7.42,84.17,1310.64,Green,2013
El Salvador,Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,10.0,7.92,84.17,1500.0,Bluish-Green,2013
Colombia,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10.0,7.58,84.17,1750.0,Green,2012
Guatemala,Catuai,Natural / Dry,7.83,7.5,7.5,8.0,7.83,7.83,10.0,7.67,84.17,,Bluish-Green,2012
Uganda,Other,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10.0,7.67,84.17,1600.0,Green,2012
Indonesia,Mandheling,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10.0,7.75,84.13,,Bluish-Green,2017
Colombia,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10.0,7.5,84.08,442.0,Green,2017 / 2018
Taiwan,Typica,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10.0,7.92,84.08,968.0,Bluish-Green,2016
Guatemala,Bourbon,Washed / Wet,8.0,7.75,7.5,7.58,7.92,7.67,10.0,7.67,84.08,,Green,2016
Colombia,Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10.0,7.67,84.08,1775.0,,2014
Guatemala,Bourbon,Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,10.0,7.67,84.08,1550.0,Bluish-Green,2014
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,10.0,8.0,84.08,,Green,2012
Mexico,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10.0,7.83,84.08,1480.0,Green,2012
Ethiopia,Other,Natural / Dry,7.92,7.92,7.83,8.0,7.92,7.92,8.67,7.92,84.08,1800.0,,2012
Costa Rica,,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,10.0,7.67,84.0,,,2017
Ethiopia,Gesha,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10.0,7.92,84.0,1800.0,Green,2017
Honduras,Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10.0,7.75,84.0,1500.0,Green,2017
Guatemala,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10.0,7.58,84.0,1706.88,Green,2015
Colombia,Other,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10.0,7.83,84.0,1600.0,Green,2014/2015
Guatemala,Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10.0,7.5,84.0,1219.2,Green,2014
Guatemala,Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,7.83,84.0,1219.2,Green,2014
Colombia,,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10.0,7.83,84.0,1480.0,Green,2014
Colombia,Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10.0,7.67,84.0,1450.0,Green,2014
Colombia,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10.0,8.33,84.0,1775.0,Green,2014
Ethiopia,Other,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,7.83,84.0,1550.0,Green,2013
Brazil,Yellow Bourbon,Natural / Dry,7.58,7.83,7.67,7.25,8.0,7.75,10.0,7.92,84.0,1260.0,Green,2013/2014
Colombia,Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10.0,7.67,84.0,1700.0,Green,2013
Kenya,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10.0,7.67,84.0,1200.0,Green,2012
Thailand,Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,9.33,8.42,84.0,,Green,2012
Kenya,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10.0,7.67,84.0,1650.0,Bluish-Green,2012
Uganda,Other,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,7.58,84.0,1700.0,Green,2012
Thailand,,,7.58,7.75,7.58,7.75,7.58,7.75,10.0,8.0,84.0,,,2011
Brazil,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,8.5,83.92,890.0,Green,2017 / 2018
Mexico,Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10.0,7.83,83.92,1300.0,Green,2017
Thailand,Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10.0,7.83,83.92,1350.0,Bluish-Green,2015
Brazil,Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10.0,7.83,83.92,934.0,Green,2016
Taiwan,Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,10.0,7.83,83.92,1200.0,Green,2015
Colombia,,,7.75,7.67,7.5,7.75,7.83,7.75,10.0,7.67,83.92,442.0,Green,2016
Colombia,,,7.75,7.58,7.5,7.83,7.75,7.92,10.0,7.58,83.92,,,2016
Taiwan,,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10.0,7.67,83.92,,Blue-Green,2014
Colombia,,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,10.0,7.75,83.92,,,2015
Colombia,,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10.0,7.67,83.92,,,2014
Colombia,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,7.58,83.92,1775.0,Green,2014
Taiwan,Typica,Washed / Wet,8.0,7.92,7.92,7.92,7.67,7.33,10.0,7.17,83.92,950.0,Green,2014
Colombia,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,7.5,83.92,1550.0,Green,2014
Mexico,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,7.67,83.92,900.0,Blue-Green,2012
Mexico,Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,10.0,7.83,83.92,1500.0,,2012
Mexico,Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,10.0,7.75,83.92,1400.0,Green,2012
Colombia,Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,7.75,83.83,2527.0,Green,2017
Colombia,Caturra,,7.83,7.67,7.5,7.75,7.75,7.75,10.0,7.58,83.83,,Green,2016
Costa Rica,Caturra,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10.0,7.83,83.83,1850.0,Blue-Green,2015
Guatemala,Bourbon,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,7.67,83.83,1500.0,Green,2016
Taiwan,,,7.75,7.67,7.5,7.75,7.75,7.67,10.0,7.75,83.83,1200.0,,2016
Brazil,Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8.0,7.75,7.83,10.0,8.0,83.83,1.0,Green,2015/2016
Taiwan,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,7.83,83.83,525.0,Green,2014
Ethiopia,,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10.0,7.75,83.83,1676.5,Green,2014
Brazil,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,9.33,8.08,83.83,1200.0,Green,2014/2015
Costa Rica,Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,7.67,83.83,1300.0,Green,2013
Guatemala,Bourbon,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,7.75,83.83,1219.2,Green,2014
Brazil,Yellow Bourbon,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,7.75,83.83,1260.0,Green,2013/2014
Ecuador,,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,10.0,7.67,83.83,800.0,Bluish-Green,2013
Colombia,Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,7.92,83.83,1750.0,Green,2013
Guatemala,Bourbon,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,7.67,83.83,1310.64,Green,2013
Mexico,Bourbon,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,10.0,7.92,83.83,1218.0,Green,2012
Mexico,Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,10.0,7.83,83.83,1300.0,,2012
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10.0,7.83,83.83,1250.0,Green,2011/2012
Thailand,,,7.75,7.75,7.58,8.0,7.67,7.58,10.0,7.5,83.83,1499.9208,,2011
Thailand,,,7.5,7.83,7.58,7.58,7.75,7.83,10.0,7.75,83.83,,,2011
Ethiopia,,,7.58,7.83,7.58,8.0,7.83,7.5,10.0,7.5,83.83,,,2010
Kenya,SL28,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10.0,7.83,83.75,1800.0,Green,
Brazil,Bourbon,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,7.75,83.75,890.0,Green,2017 / 2018
Colombia,Caturra,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10.0,7.75,83.75,442.0,Green,2017
Taiwan,Typica,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10.0,7.75,83.75,750.0,Green,2016
Colombia,,Washed / Wet,7.92,7.75,7.5,7.67,7.75,7.5,10.0,7.67,83.75,,Green,2016
China,Catimor,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10.0,7.75,83.75,1650.0,Green,2015
Colombia,Caturra,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10.0,7.75,83.75,442.0,Green,2015/2016
Uganda,Bourbon,Natural / Dry,8.0,7.92,7.58,7.75,7.33,7.5,10.0,7.67,83.75,1400.0,Green,2013
United States (Puerto Rico),Other,Washed / Wet,7.83,7.83,7.83,7.67,8.0,8.17,10.0,7.75,83.75,853.44,Green,2013
Colombia,Caturra,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10.0,7.67,83.75,1775.0,Green,2014
Colombia,Other,Washed / Wet,7.67,7.42,7.42,7.42,8.0,8.33,10.0,7.5,83.75,1550.0,Green,2014
Colombia,Caturra,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,10.0,7.75,83.75,1750.0,Blue-Green,2013
Colombia,Caturra,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8.0,10.0,7.58,83.75,1750.0,Green,2013
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.25,7.42,7.67,7.58,7.83,8.25,10.0,7.75,83.75,,Bluish-Green,2013
Mexico,Caturra,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10.0,7.83,83.75,700.0,,2012
Guatemala,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10.0,7.75,83.75,1300.0,Bluish-Green,2012
Colombia,,,7.83,7.83,7.58,7.33,7.42,7.67,10.0,8.08,83.75,1600.0,,January 2011
Colombia,,,7.75,7.67,7.25,7.25,7.58,8.5,10.0,7.75,83.75,1600.0,,4T/10
United States (Hawaii),,,7.83,7.67,7.75,7.67,7.58,7.5,10.0,7.75,83.75,,,
Brazil,Bourbon,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10.0,7.83,83.67,890.0,Green,2017 / 2018
Kenya,SL28,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10.0,7.75,83.67,1700.0,Bluish-Green,2017
Honduras,Caturra,Washed / Wet,7.5,7.5,7.67,7.67,8.0,8.0,10.0,7.33,83.67,1400.0,Green,2016
Nicaragua,Caturra,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10.0,7.5,83.67,1250.0,Green,2016
Brazil,Bourbon,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10.0,7.83,83.67,934.0,Green,2016
Taiwan,Caturra,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10.0,7.75,83.67,1200.0,Bluish-Green,2015
Costa Rica,,,7.33,7.67,7.67,7.5,7.67,7.5,10.0,8.33,83.67,1350.0,Blue-Green,
Thailand,,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10.0,7.75,83.67,800.0,Bluish-Green,2014
Colombia,Caturra,Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10.0,7.83,83.67,1625.0,,2014/2015
Guatemala,Bourbon,Washed / Wet,8.0,7.5,7.33,8.0,8.0,8.0,10.0,7.5,83.67,1356.6648,Green,2014
Colombia,Caturra,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10.0,7.58,83.67,1750.0,Green,2013
Colombia,Caturra,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10.0,7.92,83.67,1900.0,Green,2013
Guatemala,Bourbon,Washed / Wet,7.67,7.67,7.42,7.67,8.0,7.75,10.0,7.5,83.67,1310.64,Green,2013
Guatemala,Bourbon,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10.0,7.67,83.67,1310.64,Green,2013
Colombia,Caturra,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10.0,7.83,83.67,1750.0,Green,2012
Guatemala,Caturra,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,8.0,83.67,1450.0,Green,2012
Guatemala,Bourbon,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10.0,7.5,83.67,1310.64,Green,2012
Mexico,Typica,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10.0,7.58,83.67,1100.0,Green,2012
Indonesia,Typica,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,7.58,83.67,1400.0,Green,2012
Guatemala,Caturra,Washed / Wet,7.67,7.5,7.33,8.0,7.67,7.67,10.0,7.83,83.67,1524.0,Green,2012
United States (Hawaii),,,7.75,8.0,7.92,8.08,7.75,8.0,9.33,8.17,83.67,,,
Brazil,Bourbon,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10.0,7.92,83.58,890.0,Green,2017 / 2018
Guatemala,Caturra,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,7.58,83.58,1128.3696,Green,2016
Colombia,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10.0,7.67,83.58,,Green,2016
China,Catimor,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10.0,7.75,83.58,1100.0,Green,2015
Colombia,Caturra,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10.0,7.58,83.58,1775.0,Green,2015
Mexico,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10.0,7.75,83.58,1200.0,Green,2014
Ethiopia,Other,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10.0,7.75,83.58,1850.0,,2014
Uganda,SL14,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10.0,7.67,83.58,1800.0,Green,2013
Colombia,Caturra,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10.0,7.67,83.58,1600.0,Green,2014
Colombia,Caturra,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,7.67,83.58,1550.0,Green,2014
Colombia,Caturra,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10.0,7.58,83.58,1550.0,,2014
Taiwan,Typica,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,7.5,83.58,1000.0,Green,2013/2014
Colombia,Caturra,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10.0,7.67,83.58,1775.0,Green,2012
Mexico,Typica,Washed / Wet,7.83,7.67,7.58,7.58,7.67,7.58,10.0,7.67,83.58,1000.0,,2012
Colombia,Caturra,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10.0,7.75,83.58,2136.0,Green,2012
Brazil,Catuai,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,7.67,83.58,1100.0,Blue-Green,2012
Colombia,Caturra,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10.0,7.58,83.5,1799.0,Bluish-Green,2016
Taiwan,,,7.58,7.58,7.17,7.17,7.0,7.0,10.0,10.0,83.5,,Blue-Green,2016 / 2017
Costa Rica,Caturra,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,7.83,83.5,1850.0,Blue-Green,2015
Colombia,Caturra,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10.0,7.58,83.5,1000.0,Green,2016
Guatemala,Bourbon,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,7.58,83.5,1219.2,Bluish-Green,2016
Colombia,Caturra,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10.0,7.75,83.5,1775.0,Green,2015
"Tanzania, United Republic Of",Ruiru 11,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,7.58,83.5,1400.0,Green,2015
Indonesia,Sumatra,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10.0,7.67,83.5,1500.0,Bluish-Green,2015
Ethiopia,,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10.0,7.58,83.5,1600.0,,2014
Colombia,,Washed / Wet,7.67,7.42,7.67,7.83,7.58,7.67,10.0,7.67,83.5,,,2014
Colombia,Caturra,Washed / Wet,8.0,7.58,7.25,7.58,7.92,7.58,10.0,7.58,83.5,1850.0,Green,2014
Guatemala,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10.0,7.75,83.5,1400.0,Green,2013
Colombia,Caturra,Washed / Wet,7.75,7.58,7.33,7.5,7.83,7.83,10.0,7.67,83.5,1650.0,,2014
Honduras,Caturra,Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,10.0,7.83,83.5,1350.0,Green,2014/2015
Colombia,Caturra,Washed / Wet,7.58,7.75,7.42,7.67,7.75,7.67,10.0,7.67,83.5,1750.0,Green,2013
Colombia,Caturra,Washed / Wet,7.58,7.67,7.58,7.75,7.58,7.75,10.0,7.58,83.5,1750.0,Green,2013
Mexico,Bourbon,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10.0,8.42,83.5,1170.0,Green,2012
Mexico,Typica,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10.0,7.58,83.5,940.0,Green,2012
Mexico,Pacamara,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10.0,7.83,83.5,1400.0,Green,2012
Guatemala,Caturra,Washed / Wet,7.83,7.5,7.5,8.0,7.67,7.5,10.0,7.5,83.5,1524.0,Green,2012
Colombia,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.67,7.67,10.0,7.67,83.5,1775.0,Green,2012
Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,7.58,83.5,1402.08,Green,2012
United States (Hawaii),,,7.5,7.67,7.58,7.92,7.58,7.67,10.0,7.58,83.5,,,
Indonesia,,,7.83,7.58,7.58,7.58,7.75,7.58,10.0,7.58,83.5,1600.0,,23 July 2010
Colombia,Caturra,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10.0,7.67,83.42,439.0,Green,2017 / 2018
Guatemala,Bourbon,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,10.0,7.67,83.42,1700.0,Green,2017
Colombia,Caturra,Washed / Wet,7.67,7.67,7.5,7.67,7.67,7.58,10.0,7.67,83.42,442.0,Green,2016
Costa Rica,Caturra,Washed / Wet,7.58,7.5,7.42,7.92,7.5,7.67,10.0,7.83,83.42,1850.0,Blue-Green,2016
Taiwan,,,7.67,7.67,7.0,7.08,7.0,7.0,10.0,10.0,83.42,,Blue-Green,2015
Uganda,SL14,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10.0,7.75,83.42,1800.0,Green,2015
Thailand,Catimor,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10.0,7.67,83.42,1200.0,Bluish-Green,2015
El Salvador,Bourbon,Washed / Wet,7.58,7.5,7.75,7.58,7.75,7.67,10.0,7.58,83.42,1330.0,,2016
Colombia,Caturra,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10.0,7.67,83.42,442.0,Green,2015
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10.0,7.75,83.42,,Green,2014
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10.0,7.58,83.42,1600.0,Green,2014
Colombia,Caturra,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,10.0,7.58,83.42,1813.0,Green,2014/2015
Guatemala,Bourbon,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,7.5,83.42,1219.2,Green,2013
Guatemala,Caturra,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10.0,7.58,83.42,1500.0,Green,2014
Guatemala,Bourbon,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10.0,7.58,83.42,1310.64,Green,2013
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10.0,7.67,83.42,,Green,2012
Colombia,Caturra,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10.0,7.67,83.42,1450.0,Green,2012
Colombia,,,7.58,7.58,7.58,7.67,7.75,7.67,10.0,7.58,83.42,,,
United States (Hawaii),,,7.5,7.92,7.42,7.67,7.83,7.58,10.0,7.5,83.42,,,2010
Thailand,Peaberry,,7.58,7.25,7.5,7.92,7.92,7.42,10.0,7.83,83.42,,,
Mexico,,,7.25,7.88,7.38,7.63,7.5,8.75,10.0,8.0,83.38,1050.0,,January Through April
Colombia,Caturra,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,10.0,7.58,83.33,1650.0,,2016
Colombia,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10.0,7.67,83.33,,Blue-Green,2016
Colombia,Caturra,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10.0,7.67,83.33,,Green,2016
Brazil,Catuai,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10.0,7.58,83.33,1227.0,Green,2015/2016
Mexico,Caturra,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10.0,7.58,83.33,1200.0,Green,2014
Colombia,Caturra,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10.0,7.42,83.33,1650.0,Green,2015
"Tanzania, United Republic Of",Other,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10.0,7.58,83.33,1700.0,Green,2014
Mexico,Other,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10.0,7.67,83.33,1100.0,Green,2013
Costa Rica,Caturra,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10.0,7.58,83.33,1300.0,Green,2014
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8.0,9.33,7.83,83.33,,Bluish-Green,2014
Costa Rica,Catuai,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10.0,8.0,83.33,1200.0,Green,2013
Peru,,Washed / Wet,7.83,7.75,7.58,7.83,7.92,7.58,10.0,7.5,83.33,,Green,2013
Haiti,Typica,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10.0,7.83,83.33,1280.16,Green,2012
Colombia,Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10.0,7.5,83.33,1000.0,Green,2013
Guatemala,Bourbon,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10.0,7.67,83.33,1310.64,Green,2013
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,10.0,7.83,83.33,,Bluish-Green,2012
Burundi,Bourbon,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10.0,7.83,83.33,1880.0,,2012
Colombia,Caturra,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10.0,7.67,83.33,1750.0,Green,2012
United States (Hawaii),,,8.08,7.83,7.83,7.75,7.67,7.58,9.33,7.92,83.33,,,
United States (Hawaii),,,7.58,7.67,7.58,7.5,7.83,7.67,10.0,7.5,83.33,,,
Mexico,Typica,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10.0,7.67,83.25,1600.0,Blue-Green,2017
Costa Rica,Catuai,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10.0,7.58,83.25,1900.0,Green,2016
Costa Rica,,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10.0,7.67,83.25,,,2015
Guatemala,Pacas,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10.0,7.67,83.25,2100.0,Green,2016
Uganda,SL14,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10.0,7.67,83.25,,Green,2015
Brazil,,,7.58,7.67,7.42,7.5,7.67,7.42,10.0,8.0,83.25,,Green,2016
Colombia,Caturra,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10.0,7.58,83.25,442.0,Green,2015/2016
Mexico,Typica,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10.0,7.42,83.25,1261.0,Bluish-Green,2015
Taiwan,Bourbon,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10.0,7.58,83.25,1000.0,Blue-Green,2015
Taiwan,Typica,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10.0,7.33,83.25,800.0,Green,2014
